Language,Japanese,Commentary
Aaron,アーロン,アロン. Mosesの兄. ユダヤ教最初の祭司長(聖書)
aback,後ろに,後ろに
abate,弱まる,の勢いを減らす. 和らげる. やわらぐ. おさまる
abbey,修道院,修道院. 僧院
abbot,修道院長,修道院長
Abdul,アブドゥル,アブドゥル (人名)
abhor,忌み嫌う,ひどく嫌う. ぞっとするほど嫌う. 拒否する
abide,守る,がまんする. とどまる. 待つ. 従う. 住む. 規則を守る
abort,中止,流産する. 頓挫する. むだに終わる
about,約,約. について
above,の上に,の上に. 超越して
abuse,虐待,の悪口を言う. 濫用(する). 悪用(する). 虐待(する)
abuzz,騒然と,ざわめき立って
abyss,深淵,深い淵. 深淵. 底知れない穴. 地獄. 底無し地獄
acorn,ドングリ,ドングリ
acrid,鼻を突く,(においなど)つんとする. 辛い. 苦い. 冷酷な. 辛辣な
actin,アクチン,アクチン. 螺旋状の多量体を形成し細胞の形を決定するアクチンフィラメントを作るタンパク質. アクチンフィラメントは筋細胞で筋収縮を担う
actor,俳優,俳優
acute,急性,鋭い. 激しい. 緊急の. 急性の. ひどい. 重大な
adage,格言,ことわざ. 格言. 古諺. 諺
adapt,適合させる,を適応させる. 慣れさせる. 適応する. を改変する. (cf. adopt)
added,追加された,追加された
adder,毒蛇,毒蛇. マムシ. クサリヘビ(有毒)
adept,名人,熟達して. 名人
adieu,別れ,(仏語)アデュー. さようなら. ごきげんよう
adman,アドマン,advertising man. 広告係
admin,管理者,管理
admit,認める,(いやなこと)を認める. に入ることを許す
Adobe,アドビ,アドビ(ソフト名). 2. 日干しレンガ
Adolf,アドルフ,Adolf Hitler アドルフ･ヒトラー
adopt,採用,採用する. 養子にする. (cf. adapt)
adore,崇拝する,尊敬する. あこがれる. 礼拝する
adorn,飾る,飾る. decorate
adult,アダルト,おとな. 成熟した. 成人の. 成人専用の
Aegis,後援,(íːdʒɪs)(米海軍)イージス艦(総コンピュータ化巡洋艦). 2. 保護. 庇護. 後援. 指導. Zeusが娘Athenaに授けたという盾(ギリシア神話)
aerie,巣,(崖や山頂にある)ワシ. タカなどの巣
Aesop,イソップ,イソップ(BC 620?-560?. ギリシアの寓話作者)
Aetna,エトナ山,"保険会社名,山の名　他 "
AFAIK,私の知る限り,as far as I know. 私の知る限り
affix,貼る,添付する. 貼る. 捺す. 加える. 添加物. 接辞
afire,燃えて,(叙述的)燃えて
afoot,進行中の,徒歩で. 進行中で. 起こって. 計画中で
afoul,抵触,からまって. 衝突して
after,後に,後に. (後).
again,再び,再び. また. もう一度
agape,口を開けて,(あんぐり)口をあけて. ぽかんとして. 唖然として
agate,めのう(瑪瑙),めのう(瑪瑙)
agave,リュウゼツラン,リュウゼツラン
agent,代理人,代理人. 代理店. 行為の主体. 媒介. 外交員. スパイ
agile,機敏な,機敏な. 頭の回転の早い. 活気のある. 身の軽い. 鋭敏な
aging,老化,高齢化. 時効. 熟成. 年(age)をとること. 老化
aglow,輝いて,燃え立つように照り輝いて. 情熱に燃えて. 輝いて
agony,苦痛,苦痛. 煩悶
Agora,広場,古代ギリシャの集会場. 広場
agree,同意する,同意する. 賛成する
ahead,前もって,前もって. 前方に
Ahmed,アーメド,アーメド (人名)
AICPA,AICPA,American Institute of CPAs(アメリカ公認会計士協会)
Aimee,エイミー,エイミー(人名)
Aires,ブエノスアイレス,"Buenos Aires. ブエノスアイレス. アルゼンチンの首都. ラ･プラタ川Río de la Plata(銀の川)に面し,都市圏人口1,300万人. スペイン語でbuenos良いaires空気の意"
aisle,通路,(汽車などの)座席間の通路. (教会の)側廊. 細長い通路
Akbar,アクバル,"Akbar the Great,アクバル大帝. 祖父バーブルの立てたインドのムガル朝を大帝国に発展させた第3代君主(16C). マウリヤ朝のアショーカ王(BC3C)に並び称される"
Alamo,アラモ,アラモ. 1836年のテキサス･メキシコの戦場　2. 商品名ほか
alarm,アラーム,をぎょっとさせる. おびえさせる. 警告. 驚き. 不安
album,アルバム,アルバム
Alcoa,アルコア,アルコア社. アルミニウム製品の世界的なメーカー. 社名は「Aluminum Company of America」から. 1886年アンドリュー･メロンが創業. 本社ニューヨーク
alder,アルダー,ハンノキ. (カバノキ科の広葉樹). 家具材に使用
alert,アラート,油断のない. 警戒警報. 警告する
algae,藻類,藻(類)
algal,藻類の,藻類の
Alger,アルジェ,Alger(Algiers) アルジェ. アルジェリア民主人民共和国の首都. 西部地中海に面す. 地中海の要塞として古くから発達した大都市
alias,エイリアス,別名. 偽名. 別名は. またの名. ～こと
alibi,アリバイ,現場不在証明. アリバイ
Alice,アリス,アリス(人名)
alien,エイリアン,在留外国人. 異邦人. 異星人
align,整列する,並べる. 一直線にする. 提携させる. 一列に並べる
alike,同様に,差別なく. 同様に. 一様に
alive,生きている,生きている
allay,和らげる,(興奮など)を静める. calm. 和らげる. 軽くする. 減らす
Allen,アレン,アレン(人名)
alley,路地,路地. alley cat 野良猫. おはじき(遊び)
allot,充てる,割り当てる
allow,許可する,許可する. 許す. を可能にする
alloy,合金,合金. 合金に用いる安価な金属. まぜ物. 品位. 純度
aloft,アロフト,上方へ
aloha,アロハ,(送迎の)あいさつ. ようこそ. さようなら
alone,唯一の,唯一の. 単に. 離れて
along,に沿って,に沿って
aloof,よそよそしい,離れて. 遠く離れて. 遠ざかって. 風上の方に
aloud,声を出して,声を出して. 大声で
alpha,アルファ,"(第1ギリシア文字)アルファ. Α,α. 2. α星(星座の中で1番明るい星 cf. β星)"
altar,祭壇,祭壇
alter,変更する,を変更する. 変わる
amass,蓄える,集める. (財産)を蓄積する. 積む
amaze,びっくりさせる,を驚嘆させる
amber,アンバー,琥珀色. 琥珀. 琥珀色(こはく)色. 黄色
ambit,範囲,範囲. 領域. 構内. 区域
amble,アンブル,ぶらぶら歩く. のんびりと歩く
amend,修正する,修正する. 改める
amgen,アムジェン,アムジェンinc. ロサンゼルス郊外に本社を置く世界最大の独立バイオテクノロジー企業
amino,アミノ基,"アミノ基,-NH2基(the radical -NH2)を持つ,アンモニアから生じた窒素の有機化合物群"
Amish,アマン派,アーミッシュ. ペンシルベニア州やカナダのオンタリオ州のドイツ系移民の宗教集団. 農耕･牧畜で自給自足し20万人以上とされる
amiss,間違って,間違って
amity,友好,親善(関係). 友好. 親睦. 友交
Amman,アンマン,アンマン. ヨルダン･ハシミテ王国の首都.
among,の間で,間で. の間で
amour,恋愛,(仏語)アムール. 愛. 恋愛
ample,十分な,広大な. 広い. 豊富な. 豊かな. 十分にゆとりある
amply,十分に,十分に
amuse,アミューズ,を楽しませる. 笑わせる
Amway,アムウェイ,アムウェイ(米国の会社名)
Andre,アンドレ,アンドレ (人名)
angel,天使,天使
anger,怒り,怒り. 怒らせる. 怒る
angle,角度,(物を見る)角度. ネジ山角. (悪だくみの)魂胆. 2. 魚釣りをする. 3. (悪い意味)策略を用いて得ようとする
Anglo,アングロ,アングロ(英国. 英語の意). 語源はアングリア(イングランド)
angry,怒って,怒った
angst,不安,不安. 苦悩
Angus,アンガス,アンガス. スコットランドの地名. スコットランド系の男性名や姓. スコットランド原産の肉牛の品種
anima,アニマ,(ラテン語)アニマ. 魂. 生命. 息
anime,アニメ,アニメ. アニメーション
anion,アニオン,anion(化学). 陰イオン
anise,アニス,アニス(セリ科の一年草). 地中海原産. 種のような果実はアニシードaniseedと呼ぶ香辛料.
Anita,アニタ,アニタ(人名)
ankle,かかと,くるぶし. かかと. 足関節
Annan,アナン,アナン (人名)
annex,別館,別館. 付録. 付加物. 付加する. 併合する
Annie,アニー,アニー (人名)
annoy,困らせる,うるさがらせる. をいらいらさせる
annul,取り消す,(ənˈʌl). 取り消す. 廃棄する. 溶ける. 液状化する(liquefy). (cf. 肛門はanal(éɪnl))
ANOVA,ANOVA,Analysis of variance(分散分析法)
antic,首をかしげたくなるような,おどけた(しぐさ). 風変わりで滑稽な. 怪奇な
antsy,イライラ,じっとしていられない. そわそわした. 不安な. (性的に)むらむらしている
anvil,金床(かなとこ),金床(かなとこ)
aorta,大動脈,大動脈
apace,たちまち,たちまち. すみやかに. と歩調を合わせて. 遅れないで
apart,離れて,ばらばらに. 区別して. 離れて
aphid,アブラムシ,アブラムシ
apple,リンゴ,リンゴ
apply,申し込む,申し込む. あてはまる. あてはめる. 応用する
April,4月,4月
apron,エプロン,エプロン
aptly,適切に,適切に
arbor,アーバー,高木. 軸. あずまや
ardor,情熱,熱情. 灼熱. 熱意. 意気込み
arena,アリーナ,競技場. 土俵. 闘争の場. 闘技場. 試合場
argon,アルゴン,アルゴン. 元素記号はAr
argot,隠語,(盗賊などの)暗語. 隠語. 符牒
argue,主張する,論争する. と主張する. 議論する
Argus,アーガス,"アルゴス(百眼の巨人. ギリシア神話), 厳重な見張り番"
arise,発生する,現れる. (問題など)が生じる
armed,武装した,武装(した). 棘のある
armor,鎧,よろいかぶと. よろい. 防護具
aroma,香り,芳香. 香気. 香り. におい. 風格. 気品
Arras,アラス,アラス. フランスの織物の都市名. アラス織り. アラス織り壁掛け
array,アレイ,陣列. 隊列. 装い. 整列させる
arrow,矢印,矢
arson,放火,放火(犯)
Aryan,アーリア人,アーリア人. 非ユダヤ系白人の. 2. アーリア語族(インドヨーロッパ語族)の
ASCUS,ASCUS,"子宮細胞診の検査で,「意義不明異型扁平上皮細胞」を指す. ASCUS(atypical squamous cell of undetermined significance).  2. (a-)子嚢(菌類の嚢状器官)"
ashen,灰色,灰の. 灰白色の
Asian,アジアの,アジアの
aside,余談,側に. 別に(aside from. set aside. put aside)
asked,尋ね,尋ねられた
askew,斜めに,斜めに. 一方に傾いて. ゆがんで
aspen,アスペン,ポプラの木
assay,検定,含有量(率)を示す. 試金(含有量の検査)する. 評価する. 検定する.
asset,資産,価値のあるもの. 財産. 利点. 有用な. 遺産. 長所. 資産の一項目
aster,アスター,キク科のシオン属の植物. 星状体
ASTOR,ASTOR,ASTOR (antiship torpedo)対艦魚雷
astro,アストロ,宇宙飛行士(の)
Aswan,アスワン,アスワン. エジプト南部の都市. エジプトの国家事業だったアスワン･ハイ･ダムの近く
ATAPI,ATAPI,"ATA Packet Interfaceの略. ATA, Advanced Technology Attachmentは,PCとハードディスク間のインターフェースの規格"
Atlas,アトラス,アトラス(天を双肩におわされた神. ギリシア神話)
atoll,環礁,環礁. 環状サンゴ島
atone,償う,償う. あがなう. 罪滅ぼしをする
attic,屋根裏,屋根裏. (=. attic. garret. loft)
audio,オーディオ,可聴周波数. 音響部分. 聴覚の
audit,監査,監査. (帳簿など)を検査する. (講義)を聴講する
augur,占師,易者. 占い者. 占う. 前兆となる. 予測する
aural,聴覚の,耳の
auxin,オーキシン,オーキシン. 成長を促す作用を持つ植物ホルモン. 天然に存在するオーキシンとしてはインドールが知られている
avail,役に立つ,価値がある. 効能. 効用. 役に立つ
avert,避ける,避ける. 防ぐ. そらす. 背ける
avian,鳥類の,鳥類の. 鳥
avoid,避ける,を避ける
await,待つ,待つ. 待ち受ける. (物事が)待っている
awake,起きる,目覚めさせる. 悟らせる. 起きる. 気づく. 起こす
award,賞,を与える. 授与する. 賞金. 賞
aware,知って,気づいて. に気づいている
awash,あふれて,あふれて. 波に洗われて
awful,ひどい,すざましい. すさまじい. 恐ろしい
axial,軸方向の,軸の(ような). 軸の方向の
axiom,公理,公理. 定理(=theorem). 金言. 原理. 格言
Aztec,アステカ族,"the Aztecs アズテック族(メキシコ原住民族,メキシコに帝国を築き,1519年にコルテスに滅ぼされた),アズテック人(語)の"
azure,空色,空色(の). 淡青色. 藍色. 青空 (an azure sky 紺碧の空)
Babel,バベル,"(béɪb(ə)l). バベルの塔. Babylonの古都. 天まで届く塔(the Tower of Babel)を築こうとし,神の怒りで失敗. 世界の言語が混乱した. 2. がやがや声. 3. 高層建築物. 空想的計画"
Bacon,ベーコン,ベーコン. Francis Bacon (16-17世紀の英国の随筆家･哲学者)
